orf	hom | growth (pooled culture, barseq) | peptide 50 [5.75 uM] | YPD, 25 mM HEPES, pH 6.8, DMSO | Ng SMS~Chia CSB, 2018
YAL002W	-1.69255048059045
YAL004W	0.0797850869052487
YAL005C	0.267255089106225
YAL007C	-0.43880423589655
YAL008W	0.469238984763887
YAL009W	-0.228566046611087
YAL010C	0.454254597041043
YAL011W	0.167977592861671
YAL012W	-0.129450265892009
YAL013W	-0.106681930873245
YAL014C	-0.258308410084201
YAL015C	-0.128600088559703
YAL016W	
YAL017W	0.0204250727863764
YAL018C	-0.332567061732276
YAL019W	-0.00761900981136212
YAL020C	-0.239691453275328
YAL021C	-0.2025601929087
YAL022C	-0.11220201640321
YAL023C	0.0220212659494276
YAL024C	-0.738131090672707
YAL026C	0.347006725380261
YAL027W	-0.00556596463798415
YAL028W	-0.422990744203629
YAL029C	-0.251016646616355
YAL030W	0.525029091193234
YAL031C	-0.0967972167771298
YAL034C	-0.18135606639198
YAL034W-A	
YAL035W	-3.22994912452359
YAL036C	-0.167078296632437
YAL037W	0.33496803365783
YAL039C	-4.95206730103576
YAL040C	0.713912988102856
YAL042C-A	-0.390050852102791
YAL042W	-0.0925696601906513
YAL044C	-0.118469018917664
YAL045C	-0.338166948533583
YAL046C	0.503337766777139
YAL047C	-3.20993005075223
YAL048C	-0.454511182159194
YAL049C	-0.324133978193285
YAL051W	-0.0014671610817052
YAL053W	0.101311547329398
YAL054C	0.0789197435819596
YAL055W	0.205648136628185
YAL056C-A	-0.360283770995164
YAL056W	-0.148212386212323
YAL058W	-0.959981161095261
YAL059W	0.22319944648733
YAL060W	0.0944635067813887
YAL061W	0.0831458995965706
YAL062W	0.216640562818638
YAL064C-A	-0.136249337223739
YAL065C	0.0871366359346955
YAL066W	0.0479384629810614
YAL067C	-0.121102182101678
YAL068C	0.075313258838958
YAR002C-A	-0.0644365863956236
YAR002W	0.189400038226336
YAR003W	0.313911019892843
YAR014C	-0.401210027829371
YAR015W	0.0698551225016182
YAR018C	0.290037014321135
YAR020C	0.228118221114698
YAR023C	-0.252366213271002
YAR027W	-0.0815991029961528
YAR028W	0.486995054621133
YAR029W	0.337172579764738
YAR030C	0.303671341159734
YAR031W	-0.172389768680793
YAR035W	0.476061033175639
YAR042W	0.204053568968259
YAR047C	-0.0873137241433491
YAR050W	-0.0606338594648519
YBL001C	-0.120001610370369
YBL002W	-0.227737784213411
YBL003C	-3.40440034074299
YBL005W	-0.663698476786452
YBL006C	-2.07838386770334
YBL007C	-2.71857231876546
YBL008W	-0.781744914234567
YBL009W	0.114471877454214
YBL010C	0.133525094333716
YBL011W	-0.076253470261753
YBL012C	0.580207390644161
YBL013W	-0.237098890620627
YBL015W	-0.280029080085983
YBL016W	-4.9275856774991
YBL017C	0.0397993503391298
YBL019W	-0.403726625533775
YBL021C	0.0613949755220413
YBL022C	-0.645698336128121
YBL024W	-0.963484961712614
YBL025W	
YBL027W	-6.29662226944007
YBL028C	-0.0703454964821694
YBL029W	-0.351092042669236
YBL031W	-0.547352137066153
YBL032W	-0.30628384649094
YBL033C	1.05080238257787
YBL036C	0.406729271932122
YBL037W	-0.39232138613444
YBL038W	-3.21305044965712
YBL039C	1.44549287104055
YBL042C	-0.894435898643355
YBL043W	0.260554824077002
YBL044W	-1.02049081509758
YBL045C	0.00618879408594796
YBL046W	0.0276099734167119
YBL047C	-0.0776557708277204
YBL048W	-0.334555543151346
YBL049W	0.160575871731783
YBL051C	-0.684769239943356
YBL052C	-0.327218177626851
